t,x,y,method
+3.141593e-01,+1.000000e+00,-3.141593e-01,Euler
+6.283185e-01,+9.013040e-01,-6.283185e-01,Euler
+9.424778e-01,+7.039119e-01,-9.114715e-01,Euler
+1.256637e+00,+4.175646e-01,-1.132612e+00,Euler
+1.570796e+00,+6.174411e-02,-1.263794e+00,Euler
+1.884956e+00,-3.352884e-01,-1.283191e+00,Euler
+2.199115e+00,-7.384148e-01,-1.177857e+00,Euler
+2.513274e+00,-1.108450e+00,-9.458774e-01,Euler
+2.827433e+00,-1.405606e+00,-5.976477e-01,Euler
+3.141593e+00,-1.593362e+00,-1.560636e-01,Euler
+3.455752e+00,-1.642391e+00,+3.445059e-01,Euler
+3.769911e+00,-1.534161e+00,+8.604783e-01,Euler
+4.084070e+00,-1.263834e+00,+1.342449e+00,Euler
+4.398230e+00,-8.420913e-01,+1.739495e+00,Euler
+4.712389e+00,-2.956130e-01,+2.004045e+00,Euler
+5.026548e+00,+3.339764e-01,+2.096915e+00,Euler
+5.340708e+00,+9.927417e-01,+1.991993e+00,Euler
+5.654867e+00,+1.618545e+00,+1.680114e+00,Euler
+5.969026e+00,+2.146368e+00,+1.171633e+00,Euler
+6.283185e+00,+2.514448e+00,+4.973318e-01,Euler
+6.597345e+00,+2.670689e+00,-2.926052e-01,Euler
+6.911504e+00,+2.578764e+00,-1.131627e+00,Euler
+7.225663e+00,+2.223253e+00,-1.941770e+00,Euler
+7.539822e+00,+1.613228e+00,-2.640225e+00,Euler
+7.853982e+00,+7.837772e-01,-3.147036e+00,Euler
+8.168141e+00,-2.048933e-01,-3.393267e+00,Euler
+8.482300e+00,-1.270920e+00,-3.328898e+00,Euler
+8.796459e+00,-2.316724e+00,-2.929626e+00,Euler
+9.110619e+00,-3.237093e+00,-2.201806e+00,Euler
+9.424778e+00,-3.928811e+00,-1.184844e+00,Euler
+9.738937e+00,-4.301040e+00,+4.942869e-02,Euler
+1.005310e+01,-4.285512e+00,+1.400640e+00,Euler
+1.036726e+01,-3.845488e+00,+2.746974e+00,Euler
+1.068142e+01,-2.982500e+00,+3.955069e+00,Euler
+1.099557e+01,-1.739979e+00,+4.892049e+00,Euler
+1.130973e+01,-2.030962e-01,+5.438680e+00,Euler
+1.162389e+01,+1.505515e+00,+5.502484e+00,Euler
+1.193805e+01,+3.234172e+00,+5.029513e+00,Euler
+1.225221e+01,+4.814240e+00,+4.013468e+00,Euler
+1.256637e+01,+6.075108e+00,+2.501030e+00,Euler
+1.288053e+01,+6.860830e+00,+5.924782e-01,Euler
